,Batter,Batter_Handedness,Pitcher_Handedness,Stadium,Batter_Home,Date,Position_In_Lineup,Pitcher,Batting_Average,Number_Of_Plate_Appearances,Batter_Age,Batter_Exp,Pitcher_Age,Pitcher_Exp,Number_Of_Hits,ERA,Stadium_Turf,Stadium_Dome,Difference_Batter_And_Pitcher,Hit,No_Hit,DateTime,Hit_Prob
130,826,1,0,ATL,1,2016-04-04,5,281,0.667,5,35,12,29,10,2,3.0,0,0,1,1,0,2016-04-04,0.4
131,403,0,0,ATL,1,2016-04-04,6,281,0.0,5,41,15,29,10,0,3.0,0,0,0,0,1,2016-04-04,0.0
132,301,0,0,ATL,1,2016-04-04,7,281,0.4,5,33,11,29,10,2,3.0,0,0,0,1,0,2016-04-04,0.4
133,738,3,0,ATL,1,2016-04-04,8,281,0.25,4,33,8,29,10,1,3.0,0,0,1,1,0,2016-04-04,0.25
134,312,0,0,ATL,1,2016-04-04,9,281,0.0,3,36,13,29,10,0,3.0,0,0,0,0,1,2016-04-04,0.0
135,514,1,0,ATL,0,2016-04-04,1,147,0.25,5,30,7,36,13,1,2.57,0,0,1,1,0,2016-04-04,0.2
136,319,3,0,ATL,0,2016-04-04,2,147,0.2,5,36,12,36,13,1,2.57,0,0,1,1,0,2016-04-04,0.2
137,631,1,0,ATL,0,2016-04-04,3,147,0.333,4,31,11,36,13,1,2.57,0,0,1,1,0,2016-04-04,0.25
138,214,0,0,ATL,0,2016-04-04,4,147,0.333,4,35,3,36,13,1,2.57,0,0,0,1,0,2016-04-04,0.25
139,557,1,0,ATL,0,2016-04-04,5,147,0.0,4,37,15,36,13,0,2.57,0,0,1,0,1,2016-04-04,0.0
140,77,0,0,ATL,0,2016-04-04,6,147,0.0,3,30,3,36,13,0,2.57,0,0,0,0,1,2016-04-04,0.0
141,339,1,0,ATL,0,2016-04-04,7,147,0.0,4,44,19,36,13,0,2.57,0,0,1,0,1,2016-04-04,0.0
142,353,1,0,ATL,0,2016-04-04,8,147,0.0,2,30,7,36,13,0,2.57,0,0,1,0,1,2016-04-04,0.0
143,661,0,0,ATL,0,2016-04-04,9,147,0.0,2,29,10,36,13,0,2.57,0,0,0,0,1,2016-04-04,0.0
144,91,1,0,SD,1,2016-04-04,1,77,0.6,6,42,16,33,10,3,11.81,0,0,1,1,0,2016-04-04,0.5
145,197,1,0,SD,1,2016-04-04,2,77,0.2,6,26,6,33,10,1,11.81,0,0,1,1,0,2016-04-04,0.16666666666666666
146,505,0,0,SD,1,2016-04-04,3,77,0.4,5,36,12,33,10,2,11.81,0,0,0,1,0,2016-04-04,0.4
147,180,1,0,SD,1,2016-04-04,4,77,0.75,5,38,15,33,10,3,11.81,0,0,1,1,0,2016-04-04,0.6
148,695,0,0,SD,1,2016-04-04,5,77,0.667,5,30,7,33,10,2,11.81,0,0,0,1,0,2016-04-04,0.4
149,670,1,0,SD,1,2016-04-04,6,77,0.333,3,39,15,33,10,1,11.81,0,0,1,1,0,2016-04-04,0.3333333333333333
150,510,1,0,SD,1,2016-04-04,7,77,0.4,5,28,7,33,10,2,11.81,0,0,1,1,0,2016-04-04,0.4
151,729,0,0,SD,1,2016-04-04,8,77,0.25,5,39,11,33,10,1,11.81,0,0,0,1,0,2016-04-04,0.2
152,493,1,0,SD,1,2016-04-04,9,77,0.25,4,32,13,33,10,1,11.81,0,0,1,1,0,2016-04-04,0.25
153,321,1,1,SD,0,2016-04-04,1,61,0.25,4,35,11,32,13,1,0.0,0,0,0,1,0,2016-04-04,0.25
154,757,0,1,SD,0,2016-04-04,2,61,0.0,4,31,6,32,13,0,0.0,0,0,1,0,1,2016-04-04,0.0
155,651,0,1,SD,0,2016-04-04,3,61,0.0,3,36,15,32,13,0,0.0,0,0,1,0,1,2016-04-04,0.0
156,427,0,1,SD,0,2016-04-04,4,61,0.25,4,30,8,32,13,1,0.0,0,0,1,1,0,2016-04-04,0.25
157,668,0,1,SD,0,2016-04-04,5,61,0.0,4,30,3,32,13,0,0.0,0,0,1,0,1,2016-04-04,0.0
158,810,3,1,SD,0,2016-04-04,6,61,0.333,4,33,6,32,13,1,0.0,0,0,1,1,0,2016-04-04,0.25
160,716,1,1,SD,0,2016-04-04,8,61,0.0,3,29,6,32,13,0,0.0,0,0,0,0,1,2016-04-04,0.0
161,708,0,1,SD,0,2016-04-04,9,61,0.0,1,33,10,32,13,0,0.0,0,0,1,0,1,2016-04-04,0.0
162,158,0,1,TB,1,2016-04-04,1,267,0.222,4,31,8,31,7,0,6.75,1,2,1,0,1,2016-04-04,0.0
163,836,0,1,TB,1,2016-04-04,2,267,0.25,4,35,10,31,7,1,6.75,1,2,1,1,0,2016-04-04,0.25
